NAME	Ex1	Ex2	Ex3	Ex4	Ex5	Ex6	Ex8	In1	In3	In4	PVALB	SST	End	Per	Ast	Oli	OPC	Mic
A2M	1	1	1	1	1	1	1	1	1	1	1	1	308.392789583506	1105.52987624996	1	1	1	658.003224908876
AACS	57.9862394867432	43.8835196451596	85.7015442664583	40.17159628004	41.6563462195622	54.9155863297911	12.9289393583286	1	1	1	1	1	1	1	1	1	1	1
AAGAB	29.3077403956343	25.8247271287447	15.6821915780723	38.7233786936397	29.8909589566695	1	1	1	1	46.4495329066188	1	1	1	1	1	1	1	1
AASDH	1	1	1	21.636814978988	1	32.440539579679	1	1	1	39.8783206726906	1	1	1	1	1	1	1	1
AATF	1	1	34.0570641860261	1	1	1	1	1	1	1	1	1	1	1	1	1	1	164.636209131989
AATK	39.3929787879074	1	73.5898303517764	100.187015631285	48.7497292306118	50.4454066505961	38.7589467262638	80.2159520964854	66.1332759022316	58.8947030149258	43.181087762092	93.0320984927945	121.47039644339	1	1	526.791804629122	61.8141062175635	1
ABCA17P	1	1	23.6069953794582	23.796323988307	25.0910463296292	42.2342449623059	1	1	62.9371351565557	30.7208572923993	1	1	1	1	1	1	1	1
ABCA2	26.9001210786792	1	56.9126631181763	25.7391126378839	1	24.3518966095256	1	1	1	1	1	1	1	1	1	665.264062679689	1	1
ABCA6	1	33.7408022885901	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ABCA8	1	1	1	1	1	1	1	1	1	1	1	1	98.9813730204731	1	1	455.957548032559	1	80.1828791872474
ABCA9	31.7817988544708	58.2288666220365	23.9144907140278	28.7512815109151	28.2462173890231	1	40.853179787572	31.4646265078274	1	36.5565611220556	53.3340426120031	166.69137768329	4618.27552922876	1288.21118604018	1	1	1	1
ABCB1	1	1	1	1	1	1	1	1	1	1	1	1	3589.19233605116	1454.94677931195	1	1	1	1
ABCB7	1	1	1	23.756802701977	1	1	50.5909368958623	1	27.3381835541562	1	1	1	1	1	1	1	1	1
ABCB8	1	1	1	1	1	1	1	1	1	46.1754240035098	1	1	1	1	1	1	1	1
ABCB9	38.3160441206104	17.6571295824615	35.865505388442	34.5520235580135	36.7602034348681	42.7539154695086	112.807404969624	1	59.6919139555783	36.2723156912432	35.4330455286318	43.4063506476768	1	1	1	1	1	1
ABCC1	1	1	1	1	1	1	1	1	1	46.1087813088202	1	1	125.161927610988	1	1	1	1	1
ABCC3	1	1	1	1	1	1	29.5585689543768	1	1	1	1	1	1	1	1	1	1	1
ABCC4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	187.352290097819
ABCC8	55.559648212392	45.4954038057145	44.1141447876346	49.1145496431066	52.8514760258013	81.8916500363496	209.765157219482	65.4809338660082	69.073149753304	51.0363005440045	46.0932739137628	52.4377546257879	1	1	1	1	1	1
ABCC9	1	1	1	1	1	1	1	1	1	1	1	1	1	317.55908318172	1	1	1	1
ABCD2	23.848975181616	1	1	1	1	1	55.4362271406023	38.720797874165	1	1	1	1	1	1	122.032153067363	1	1	1
ABCD3	1	1	1	32.0489503699685	1	1	1	43.7492132093278	1	1	31.8783633783271	1	1	1	1	1	1	1
ABCD4	1	1	1	21.9750694960135	1	1	1	1	1	1	1	46.804513331875	1	1	1	1	1	1
ABCE1	1	1	1	25.4045637478213	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ABCF1	1	1	73.8718545175512	35.6328877309842	28.3929530314656	1	1	35.9645282548971	27.581063742671	49.252804066309	38.8539939232768	34.1400404510274	1	1	1	1	90.6498531975379	79.4369427698934
ABCG1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	100.955822137809	1	1
ABCG2	1	1	1	1	1	1	1	1	1	1	1	1	198.790497201358	119.854811209958	1	1	1	1
ABHD13	1	1	34.31820730157	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ABHD2	80.7395716057847	81.0966576633157	73.5801139211228	58.4388987758327	52.1689902957417	89.3722041055991	43.1934164483145	84.7590273586192	103.480546640119	72.4628549149107	121.309477411503	129.859716148798	19.4466369393975	221.240365168339	217.859053558325	1	982.521788308088	141.212144216237
ABHD6	1	1	21.6697641127778	27.8599958872316	43.3108270617606	1	18.5779188546813	1	1	50.0984197861618	25.4431537677364	1	77.4819778239598	1	1	98.2938950971502	1	1
ABHD8	1	1	20.7102603804473	24.9272834551187	1	1	1	1	1	81.9137708460486	1	1	1	1	1	1	1	1
ABI3BP	1	1	1	1	1	1	1	50.7913552645634	1	1	1	1	1	1	1	1	1	1
ABTB1	28.4710105702142	1	54.9635507965444	48.9212573345163	34.0246444498457	45.9460588514973	42.278779226447	1	1	1	1	1	1	96.1010103649769	1	1	1	1
AC005152.2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	64.1574808518505	1
AC007510.1	1	1	28.935886138483	1	1	1	74.2254147352014	255.551721785627	173.703144544406	96.9117362248917	1	581.026172901679	1	104.644261972414	121.188971068892	1	179.768615731195	1
AC008074.2	1	1	54.8537337883716	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AC010087.3	1	1	19.8289063353262	1	23.5712486341719	1	1	1	1	1	1	1	1	1	1	1	1	1
AC012100.1	1	28.2725970767679	18.1752659159785	29.5922390826896	1	1	1	1	1	1	1	38.2979334449932	1	192.487350412887	1	1	1	1
AC012652.1	32.9413537611216	28.9086857821997	87.8351068673787	44.0523713811813	26.6054806629289	1	23.0220484839574	1	1	1	1	1	1	1	1	1	1	1
AC013402.2	37.814739387578	1	30.2452974561022	1	1	1	1	50.4956054592699	82.395602719094	1	1	58.7351216689376	1	1	1	1	1	1
AC015936.3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	72.7716571299055	1
AC021860.1	1	1	28.6272289767527	57.0634498354365	22.8091838307754	47.0546686766184	1	57.4083064988088	145.062676584715	161.039844596968	123.851887750442	60.3855102802883	118.144980456989	1	1	1	82.5083044027342	1
AC022100.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	83.1667016149373	1	1
AC023024.1	1	1	1	1	1	1	1	1	1	1	1	1	1	144.454905303273	1	1	1	1
AC024575.2	31.3850142169119	1	58.6590090511385	32.0035662148026	1	1	1	40.9283864350731	29.5528106987207	48.4358060726714	1	1	1	1	1	1	1	1
AC025647.1	1	1	46.6759732025938	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AC068353.1	72.2462524795428	33.3040146163643	51.207235169224	1	1	1	32.9100033453005	1	37.2335818350914	1	1	1	1	1	1	1	1	106.111751327951
AC068491.1	29.9538109666581	30.7443937738736	21.0990781304355	37.2210602206269	39.7566507944169	50.0636661746128	40.2492504736589	1	1	1	58.0549635792383	47.7047893083156	1	1	1	1	1	1
AC069154.2	57.0545807821339	77.9428589169193	65.6909188234056	91.715618103834	87.9179788985876	50.7133906147692	49.9225871084825	1	66.6262998389818	35.2186205234955	1	1	1	1	1	1	1	1
AC078937.4	1	1	36.2761385156939	1	1	1	1	1	1	1	43.321423928824	1	1	1	1	1	1	1
AC084125.1	1	33.5341886420014	20.2162696384364	52.9013617797976	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AC087645.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	112.846898214262	1	1
AC087742.2	37.2834132811268	58.342878476181	21.2061504373585	30.7184124794095	54.1911468236725	1	1	39.7117893033364	1	1	30.4895325896127	1	1	1	1	1	1	83.7579104663347
AC091565.3	29.1463192447302	27.1281623175222	45.3608100767052	42.1226039195492	34.7243542648438	1	33.9681890013572	27.5165922173567	1	39.0201568257461	35.6037542077617	1	626.637294317053	214.486396279075	1	1	1	1
AC092436.3	27.8560044486967	1	1	31.642883997514	1	76.4626076813698	1	1	121.482770507765	1	1	37.5911565712219	1	1	73.188819076835	1	169.317639817931	1
AC092490.2	1	1	38.0883691835119	1	1	1	1	36.5828579335884	1	56.7882305201691	43.9338686386301	69.1798582240282	109.470168464813	1	107.899894430562	1	1	1
AC093283.3	1	27.7110526397524	21.3619933615555	1	35.6093946420361	1	1	65.9149237189762	1	1	1	1	1	1	1	1	1	1
AC094086.1	1	1	1	1	1	1	1	1	1	1	1	1	46.9634595917004	1	1	140.857589721553	117.769972327171	1
AC099797.1	1	1	1	24.425046091476	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AC106037.2	1	1	17.8886202455181	37.5487411900918	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AC109486.1	94.0388657898743	74.4838507530846	91.5597442587872	95.456748955465	95.6378515061357	68.8254658936195	58.1956164925634	1	1	1	1	1	1	1	1	1	1	72.3451904778291
AC110754.1	1	1	1	1	1	1	1	1	29.917710440054	35.9870699690401	46.2677136948784	34.8025169704758	1	1	1	1	1	1
AC110760.2	32.8936744359269	129.911031140736	104.881001323012	113.859958729805	80.4128480215042	1	1	125.445368511657	179.28907366548	92.5357494963484	104.58272264471	51.9418488036938	1	151.851952706292	1	1	1	1
AC110814.1	1	1	79.5628906323935	33.8482894305002	1	1	26.2273037438616	95.9400079901901	37.3707454794593	31.3808760838468	89.5232951357768	93.0773263709888	1	1	1	1	1	1
AC112641.2	1	1	45.1850777933609	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AC120024.1	1	1	28.3053028945461	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AC126544.1	29.1378491187656	1	26.50866682762	37.3702664510516	40.4232800169933	31.0319344250724	1	35.811505565914	1	1	32.8696154120227	1	23.1791272114608	1	1	1	1	1
AC131238.1	1	1	1	1	1	1	1	1	1	30.3381844367997	1	1	1	513.276072950824	1	1	1	1
AC135592.2	1	1	19.2036275430526	1	1	1	39.8852804366154	1	1	1	1	1	1	1	1	1	1	1
ACAA1	1	1	46.9273622745739	27.6468212159449	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ACACB	1	1	1	1	1	1	1	1	1	1	1	1	1	1	271.258281928293	1	1	1
ACAD9	1	1	20.6791677135362	1	1	1	20.355546501171	1	1	1	1	1	1	1	1	1	1	1
ACAT1	1	1	55.5949513560006	53.1066253476069	50.4734816233816	1	45.5395711051768	30.8080105582148	1	43.3047528420795	49.5056447867614	48.3196202317687	1	1	1	1	1	1
ACAT2	1	1	33.9871038050443	1	1	1	1	1	1	32.3886250232496	1	1	1	1	1	1	1	1
ACBD3	1	1	28.9653418913246	19.3983060368068	22.7417783274454	1	1	1	52.7486183504642	1	1	1	72.4556567931238	1	1	1	1	1
ACBD5	1	1	1	1	1	1	1	44.7783004425489	40.9603548537744	1	1	1	1	1	1	1	1	105.801664139029
ACCN1	3967.51787174753	1425.78710777318	1220.01359507684	1475.15333239773	1575.51875360583	24601.6756653722	1383.82939372485	4685.71896643322	3049.82172039863	856.010217480389	2195.86166509756	651.203473280879	3581.27342964724	1746.76924475097	584.369754442525	562.686098544309	474.245996058368	1639.65929341259
ACCN2	1	1	1	1	1	1	1	66.1566311300716	93.0885434439495	1	1	1	1	1	1	1	124.345253322466	1
ACCN4	1	1	1	1	1	1	1	72.6279445913241	58.8675942996992	1	1	1	1	1	1	1	70.7760951311719	1
ACLY	1	1	36.8344138345494	20.230783694026	1	1	1	30.2783763922465	1	1	1	1	1	1	1	1	1	1
ACO1	1	1	23.5594089069169	1	1	33.0442866222181	39.4402185350418	55.6721631604104	61.5867725162912	1	59.8081236996573	58.3887908961384	1	1	1	1	1	1
ACOT11	1	30.2632358373193	1	23.805549062509	1	39.3885310615864	1	1	29.4237401020726	1	1	1	1	1	303.352324845054	1	1	1
ACP1	1	1	51.1130557914646	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ACP6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	57.9104114775589	1	1	1
ACPL2	32.4598870064074	37.7983174575607	28.1788650005583	1	1	1	55.5386631981654	1	1	1	1	1	1	1	1	1	1	1
ACSBG1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	347.498361600895	130.737493078424	1	1
ACSL1	1	1	1	1	1	1	1	1	1	1	1	1	129.564901031405	1	1	1	1	1
ACSS1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	579.648012232574	1	1	96.4628494293687
ACSS2	1	1	1	1	1	1	1	1	1	1	1	1	123.546673025586	1	1	117.427083043188	1	1
ACSS3	1	1	1	1	1	1	1	1	1	1	1	1	1	78.3279251968076	212.328885308982	1	1	1
ACTL6B	36.4750629492612	1	29.1221968333979	27.6785730895652	1	1	1	29.3270071134792	1	47.1071420512066	1	57.0360697903263	1	1	1	1	1	1
ACTN2	30.9066680877425	1	30.149610920756	22.9070367753354	40.0643651108245	46.2191721110422	1	1	1	1	1	1	1	1	1	178.451749031319	1	1
ACTR1B	29.7615367516389	1	61.2210295620822	38.9105079054128	27.4074660391512	33.0279513431804	1	1	57.5329130381971	31.4050796299959	25.9993312941567	113.388208291371	1	1	1	1	1	1
ACTR3	1	1	29.6638672676899	25.8796053835671	15.5540706402085	1	35.6201091861418	1	32.7582645212299	1	1	1	1	1	1	1	1	1
ACVR1	1	1	1	1	1	1	1	1	1	1	1	1	110.762401766053	1	1	1	1	1
ACVR1B	1	22.6201458675559	56.0882612608947	33.0317233834114	20.5349112558871	1	1	1	1	1	1	1	1	1	1	1	1	1
ACVR1C	49.1634818357351	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ACVR2A	1	61.7460234460361	34.537190011366	48.7136649976499	62.2158911317485	48.0845535495419	1	1	1	1	1	60.2893143873074	151.697032676234	1	1	1	1	66.6313736344949
ACYP1	1	1	14.2708342815044	1	1	1	1	1	1	1	33.5667531232581	1	1	1	1	1	1	1
ADAM11	50.6602187185471	42.8814849364549	75.9298117766459	113.74948319674	69.3018694195689	143.019095125321	61.2267545648124	46.8944277481672	52.0689497985306	46.4726314680753	35.0375609349536	55.388304187906	78.5878030545723	1	1	1	1	1
ADAM17	60.1704568073207	21.8547457868655	41.9863690104966	51.1315672298016	41.8985651862416	57.6516671453597	34.460693420492	1	1	54.2028771357412	43.9599290883807	39.6418783618421	1	1	1	1	1	1
ADAM28	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2007.64843262224
ADAM32	1	29.1001040575684	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ADAM33	1	1	1	1	1	1	1	121.653853038167	128.879835035012	1	1	1	1	1	1	1	1	1
ADAM9	21.5335838070647	1	32.323489363569	19.2710911576428	1	1	1	32.7871440426033	1	1	1	1	1	75.6388590994451	1	1	1	1
ADAMTS10	1	1	1	28.0306014605594	22.2034518978874	32.6210809609241	1	25.7030267198977	1	25.5829755046749	1	1	1	134.641442895857	1	1	1	1
ADAMTS3	67.9700220430319	37.7108044036277	23.5251987613336	1	36.4688393362532	1	47.7403436554314	1	1	1	1	1	1	1	1	1	1	1
ADAMTSL1	1	1	1	1	1	91.3323882872308	1	1	1	1	1	1	1	1	1	1	1	1
ADAMTSL2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	133.911058513736
ADAMTSL3	1	1	1	1	1	47.3631910349392	41.7028260058519	40.7313085054619	1	124.059583584907	1	162.117914199227	1	1	1	80.3346341954814	1	1
ADAP1	1	1	43.4580713062659	23.3382868012941	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ADAP2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	168.467037434995
ADARB2	87.8446603403688	228.040216517553	95.0401093824882	67.3739984273234	123.252155151025	129.761056018161	73.9108152524498	24386.271044249	12283.4068125607	19663.2048400174	119.877973961591	92.5664984340327	276.504244494891	2507.75560372441	248.224374699257	498.996401226957	1737.35792895261	285.962794358065
ADC	31.9714045427219	27.3308541228322	49.1176689606746	24.3265346951089	1	1	23.1922462137823	1	1	1	1	1	1	1	1	92.557228935884	1	1
ADCY3	52.0139306378797	1	37.6706541077265	67.8479062293701	34.4049084160122	1	1	53.703629763924	62.2632238396887	50.7365682965758	1	59.8635091032161	1	1	1	1	1	1
ADCY6	1	1	35.620083689506	1	1	28.4315744314559	1	1	1	31.3176424203632	1	1	1	1	1	1	1	1
ADCY7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	82.3913547739101
ADCY8	1	42.2069538072674	29.1330973948648	1	1	125.403529064704	1	85.0871595752103	78.5668944923687	152.859453842476	208.960106640858	168.666798314156	1	1	136.038515646966	1	180.646514706776	1
ADCYAP1R1	1	1	47.1331080351659	1	1	1	1	75.1597113239171	117.47592616441	68.7499876820204	132.749915741009	79.1142223954491	202.308305746284	1	115.298035416598	1	1	1
ADH5	1	1	1	1	1	1	1	1	1	32.6488679304045	1	1	1	118.572822810289	1	1	1	1
ADHFE1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	131.252740122373	1	1	1
ADI1	1	1	47.8103782057995	31.3710477663203	26.2293361276012	1	1	1	1	40.5639560472785	57.7123363178544	48.8479232254736	1	1	108.167027368226	1	1	1
