NAME	Ex1	Ex3	Ex4	Ex5	Ex6	Ex8	In1	In2	In3	In4	PVALB	SST	End	Per	Ast	Oli	OPC	Mic
A2M	1	1	1	1	1	1	1	1	1	1	1	1	1520.2377318895	615.710569214837	1	1	1	998.181786037748
AACS	36.9653492930283	40.6351210698872	47.189287695088	43.6452997397894	35.0545529897287	35.1862427315206	1	1	1	30.3527143077339	33.7225275852012	36.1603976654571	1	1	1	1	1	1
AAGAB	22.1954598953616	27.3833770554799	25.3205004855119	23.8444218370782	29.7642722509736	76.0613160055197	31.8748281677058	62.0484881856986	1	24.7039645141096	1	1	1	76.3270394481637	1	1	1	1
AAMP	1	22.6554710441369	24.41275881574	23.2814125601976	1	1	25.9119441947672	1	1	27.1248902577007	1	1	1	1	1	1	1	1
AATF	20.3661048671002	18.3803714064662	17.0891354579056	24.8205002728406	1	1	25.3802406533325	37.0794551307303	1	1	1	1	1	1	1	1	1	1
AATK	39.4600676318753	53.5426828151651	74.3653065766948	55.3246124963079	52.2044197408806	24.6802181768562	52.3383837883411	33.4030129682341	51.3012252836085	30.0774604269688	43.5959519198151	61.1926597106581	1	1	66.8663290628048	450.344270205292	84.3963943440086	1
ABCA1	1	1	1	1	1	1	1	1	1	1	1	1	43.1123891018741	70.3860874720774	72.8776099621117	1	83.5279251941971	1
ABCA10	49.0854113602658	72.7499576342861	91.2501422860308	57.4752427818739	45.7382325081948	43.1928878814294	55.1473009152054	46.4055072218378	67.0543933755005	53.9099312392431	90.9615167690351	93.5909339056894	1	639.1402539162	1	1	1	1
ABCA17P	21.7956362173449	18.180929903812	22.8040557018953	1	28.6320958188178	1	25.3352946418919	17.5269010278219	21.7081275421807	19.0191562993608	1	44.2871745472342	1	1	1	1	1	1
ABCA2	25.036773803941	19.7905509546086	33.0468154892182	13.1711996277195	25.5441173957796	31.8794884772382	1	1	22.9300509209293	20.5217694656038	21.9737530398447	1	1	1	1	476.94938360077	1	1
ABCA6	1	22.2252705496664	21.5856875489372	1	34.1029432130665	1	1	39.7256931895314	1	21.3705995905153	36.2096463229962	1	1	1	1	1	1	1
ABCA8	1	1	1	1	1	1	1	1	1	1	1	1	1	414.128783345581	1	401.884271305354	1	1
ABCA9	26.0530540764361	28.6108933823573	29.9629549858642	25.1160068830212	39.4199077694826	1	1	19.0954901199975	39.7092114127586	25.1009694760016	51.7124180848938	53.5815835351664	184.834053508826	388.475660870123	1	1	1	1
ABCB1	1	1	1	1	1	1	1	1	1	1	1	1	13490.3778734606	381.190627748846	1	1	1	1
ABCB10	1	1	1	1	1	1	1	1	1	21.8486015047945	1	1	1	1	1	1	1	1
ABCB7	19.5463924844152	22.8040474548076	39.9086884401779	36.6703531906555	1	50.1554909886402	1	1	1	22.1674441916683	1	33.9763137983166	1	1	1	1	46.042808901309	60.9384514185539
ABCB8	1	1	1	1	1	1	1	13.5565230899788	1	22.4016946780202	1	1	1	1	1	1	1	1
ABCC1	1	17.099339127774	21.0426438008935	16.902148636516	1	1	25.3826841195819	24.7517264166687	35.1901271924799	54.9262137130265	1	1	1	1	1	1	1	1
ABCC3	1	1	1	1	1	114.107560954222	1	1	1	1	1	1	1	1	1	1	1	1
ABCC4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	324.340531826295
ABCC9	1	1	1	1	1	1	1	1	1	1	1	1	1	392.593598110939	1	1	1	1
ABCD2	31.4013008048358	26.2740740470082	20.9198065136836	27.5688214938167	1	1	1	1	1	25.0131709581453	26.0448486040245	1	1	1	94.7389927613112	1	1	1
ABCD3	1	20.7536810674349	25.7832736022763	22.1948744566728	1	1	39.4117298993607	1	25.2781557738314	23.6591572389088	33.8277362135651	1	1	1	50.2395532650456	1	1	1
ABCD4	20.7319991970152	1	25.638659820434	1	1	32.6617657521152	27.7506734068194	60.607768561146	1	24.7207436767666	1	1	42.0314388347011	1	1	1	1	1
ABCE1	1	1	19.2210207703996	1	1	1	1	173.708604028152	1	1	1	1	1	1	1	1	1	1
ABCF2	1	20.6315961050929	17.4283425270813	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ABCG1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	106.849660498971	1	1
ABCG2	1	1	1	1	1	1	1	1	1	1	1	1	939.457774644975	1	1	1	1	1
ABHD10	1	1	25.8240286010911	19.3060215525288	1	1	1	26.4394363541517	1	1	1	1	1	1	1	1	1	1
ABHD13	17.7757590174594	1	25.6568980391174	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
