net,idx,pvalb_hsq,sst_hsq,tot_hsq,norm_pvalb_hsq,norm_sst_hsq,func_type
RSFA_Net7_LH_Vis_1,1,1e-6,0.015412,0.07646,1.3078733978550876e-5,0.2015694480774261,RSFA
RSFA_Net7_LH_Vis_2,2,0.003028,0.016945000000000002,0.201241,0.015046635625941034,0.0842025233426588,RSFA
RSFA_Net7_LH_Vis_3,3,1e-6,0.002679,0.041417,2.4144674891952577e-5,0.06468358403554096,RSFA
RSFA_Net7_LH_Vis_4,4,0.006238,0.011533,0.107017,0.05828980442359625,0.1077679247222404,RSFA
RSFA_Net7_LH_Vis_5,5,0.01183,1e-6,0.011833,0.9997464717315981,8.450942280064228e-5,RSFA
RSFA_Net7_LH_Vis_6,6,0.013791,1e-6,0.038071,0.362244227889995,2.626671219563447e-5,RSFA
RSFA_Net7_LH_Vis_7,7,1e-6,0.008028,0.113293,8.826670668090702e-6,0.07086051212343217,RSFA
RSFA_Net7_LH_Vis_8,8,0.004638,0.006662,0.083428,0.055592846526346065,0.07985328666634703,RSFA
RSFA_Net7_LH_Vis_9,9,0.015993,1e-6,0.045764,0.349466829822568,2.185123678000175e-5,RSFA
RSFA_Net7_LH_Vis_10,10,0.006088,0.011172,0.057147,0.10653227640996027,0.19549582655257491,RSFA
RSFA_Net7_LH_Vis_11,11,0.012806,1e-6,0.02135,0.5998126463700234,4.683840749414519e-5,RSFA
RSFA_Net7_LH_Vis_12,12,0.009581,1e-6,0.067747,0.14142323645327468,1.476080121629002e-5,RSFA
RSFA_Net7_LH_Vis_13,13,1e-6,0.021024,0.087091,1.1482242711646438e-5,0.24140267076965474,RSFA
RSFA_Net7_LH_Vis_14,14,0.017113,0.00198,0.079861,0.214284819874532,0.02479307797297805,RSFA
RSFA_Net7_LH_Vis_15,15,0.005563,1e-6,0.091866,0.060555591840289115,1.0885420068360437e-5,RSFA
RSFA_Net7_LH_Vis_16,16,0.008719,1e-6,0.029706,0.2935097286743419,3.366323301689894e-5,RSFA
RSFA_Net7_LH_Vis_17,17,0.005708,1e-6,0.065268,0.08745480174051602,1.5321443892872463e-5,RSFA
RSFA_Net7_LH_Vis_18,18,0.008381,1e-6,0.072145,0.11616882666851479,1.3860974426502182e-5,RSFA
RSFA_Net7_LH_Vis_19,19,0.014658,1e-6,0.036137,0.40562304563190077,2.767246866092924e-5,RSFA
RSFA_Net7_LH_Vis_20,20,1e-6,0.013767,0.103082,9.701014726140355e-6,0.13355386973477426,RSFA
RSFA_Net7_LH_Vis_21,21,0.006964,1e-6,0.068118,0.1022343580257788,1.4680407528112981e-5,RSFA
RSFA_Net7_LH_Vis_22,22,1e-6,0.002801,0.100594,9.940950752529971e-6,0.027844603057836453,RSFA
RSFA_Net7_LH_Vis_23,23,0.01766,0.003262,0.083416,0.21170998369617336,0.03910520763402704,RSFA
RSFA_Net7_LH_Vis_24,24,0.005874,0.002021,0.049386,0.11894059045073503,0.04092252865184465,RSFA
RSFA_Net7_LH_Vis_25,25,0.016772,0.007492,0.079443,0.21111992246012862,0.09430660977052731,RSFA
RSFA_Net7_LH_Vis_26,26,0.012293,1e-6,0.104705,0.11740604555656367,9.550642280693376e-6,RSFA
RSFA_Net7_LH_Vis_27,27,0.023169,0.005505,0.075358,0.30745242708139814,0.07305130178614083,RSFA
RSFA_Net7_LH_Vis_28,28,0.016349,0.008571,0.164605,0.09932262081953767,0.05207010722639045,RSFA
RSFA_Net7_LH_Vis_29,29,0.01984,0.007401,0.097455,0.2035811400133395,0.07594274280437124,RSFA
RSFA_Net7_LH_Vis_30,30,0.013007,0.004716,0.080385,0.16180879517322883,0.05866766187721589,RSFA
RSFA_Net7_LH_Vis_31,31,0.020195,0.007797,0.108748,0.18570456468164934,0.0716978703056608,RSFA
RSFA_Net7_LH_SomMot_1,32,0.009573,0.001329,0.153229,0.06247511893962631,0.008673292914526624,RSFA
RSFA_Net7_LH_SomMot_2,33,0.006995,1e-6,0.081971,0.08533505752034257,1.2199436386038964e-5,RSFA
RSFA_Net7_LH_SomMot_3,34,0.002583,0.014855,0.157406,0.016409793781685576,0.09437378498913639,RSFA
RSFA_Net7_LH_SomMot_4,35,1e-6,0.005711,0.09718,1.0290183165260341e-5,0.05876723605680181,RSFA
RSFA_Net7_LH_SomMot_5,36,0.003167,0.00779,0.172,0.01841279069767442,0.04529069767441861,RSFA
RSFA_Net7_LH_SomMot_6,37,0.013861,1e-6,0.123149,0.11255471014786966,8.120244581766803e-6,RSFA
RSFA_Net7_LH_SomMot_7,38,1e-6,0.005842,0.169416,5.902630212022477e-6,0.03448316569863531,RSFA
RSFA_Net7_LH_SomMot_8,39,0.003499,1e-6,0.12761,0.02741948123187838,7.836376459525116e-6,RSFA
RSFA_Net7_LH_SomMot_9,40,0.008002,1e-6,0.164581,0.04862043613782879,6.076035508351511e-6,RSFA
RSFA_Net7_LH_SomMot_10,41,0.020117,0.002029,0.152339,0.1320541686633101,0.013318979381510972,RSFA
RSFA_Net7_LH_SomMot_11,42,0.012978,1e-6,0.155116,0.08366641739085587,6.446788210113721e-6,RSFA
RSFA_Net7_LH_SomMot_12,43,7.97e-4,1e-6,0.162821,0.00489494598362619,6.141713906682799e-6,RSFA
RSFA_Net7_LH_SomMot_13,44,0.010501,1e-6,0.15310000000000001,0.06858915741345525,6.531678641410842e-6,RSFA
RSFA_Net7_LH_SomMot_14,45,0.004623,0.001612,0.16991,0.02720852215878995,0.009487375669472073,RSFA
RSFA_Net7_LH_SomMot_15,46,0.012332,1e-6,0.1123,0.10981300089047194,8.904719501335708e-6,RSFA
RSFA_Net7_LH_SomMot_16,47,0.002416,1e-6,0.186607,0.012946995557508561,5.35885577711447e-6,RSFA
RSFA_Net7_LH_SomMot_17,48,0.007897,0.001886,0.153271,0.05152311918105839,0.012305002250915048,RSFA
RSFA_Net7_LH_SomMot_18,49,0.012312,0.011462,0.149965,0.08209915646984298,0.07643116727236356,RSFA
RSFA_Net7_LH_SomMot_19,50,0.009226,0.004855,0.173593,0.05314730432678737,0.02796771759229923,RSFA
RSFA_Net7_LH_SomMot_20,51,0.007605,1e-6,0.132102,0.05756915111050552,7.56990810131565e-6,RSFA
RSFA_Net7_LH_SomMot_21,52,0.010163,0.002508,0.109237,0.09303624229885478,0.02295925373270961,RSFA
RSFA_Net7_LH_SomMot_22,53,0.010536,1e-6,0.091682,0.11491895901049279,1.0907266420889596e-5,RSFA
RSFA_Net7_LH_SomMot_23,54,0.008625,0.003408,0.160356,0.05378657487091223,0.02125271271421088,RSFA
RSFA_Net7_LH_SomMot_24,55,0.012737,1e-6,0.134296,0.09484273545005063,7.446238160481324e-6,RSFA
RSFA_Net7_LH_SomMot_25,56,0.024811,0.004222,0.219381,0.1130954822888035,0.01924505768503198,RSFA
RSFA_Net7_LH_SomMot_26,57,0.016038,0.002946,0.196159,0.08176020473187567,0.015018428927553668,RSFA
RSFA_Net7_LH_SomMot_27,58,0.014798,0.002763,0.126132,0.11732153616845845,0.021905622681000856,RSFA
RSFA_Net7_LH_SomMot_28,59,0.013965,1e-6,0.099993,0.1396597761843329,1.000070004900343e-5,RSFA
RSFA_Net7_LH_SomMot_29,60,0.003139,1e-6,0.076652,0.04095131242498565,1.3045974012419767e-5,RSFA
RSFA_Net7_LH_SomMot_30,61,0.0174,0.00135,0.173781,0.1001260206812022,0.007768398156300172,RSFA
RSFA_Net7_LH_SomMot_31,62,0.012438,5.33e-4,0.148093,0.08398776444531476,0.0035990897611635933,RSFA
RSFA_Net7_LH_SomMot_32,63,0.023329,0.005527,0.178379,0.1307833321186911,0.03098458899309896,RSFA
RSFA_Net7_LH_SomMot_33,64,0.011621,9.42e-4,0.160336,0.07247904400758406,0.005875162159465123,RSFA
RSFA_Net7_LH_SomMot_34,65,0.012059,0.003041,0.100729,0.11971726116609914,0.030189915515889166,RSFA
RSFA_Net7_LH_SomMot_35,66,0.012616,6.5e-4,0.138452,0.09112183283737325,0.004694767861786034,RSFA
RSFA_Net7_LH_SomMot_36,67,0.006948,0.011107,0.073078,0.09507649360956785,0.15198828648840965,RSFA
RSFA_Net7_LH_SomMot_37,68,0.017322,1e-6,0.129097,0.13417817610014177,7.746113387607768e-6,RSFA
RSFA_Net7_LH_DorsAttn_Post_1,69,1e-6,0.004972,0.083656,1.1953715214688725e-5,0.05943387204743234,RSFA
RSFA_Net7_LH_DorsAttn_Post_2,70,0.004217,0.008214,0.113437,0.037174819503336655,0.07241023651894886,RSFA
RSFA_Net7_LH_DorsAttn_Post_3,71,0.009532,9.4e-4,0.142224,0.06702103723703455,0.006609292383845202,RSFA
RSFA_Net7_LH_DorsAttn_Post_4,72,0.015198,0.001773,0.172046,0.08833684014740244,0.010305383443962661,RSFA
RSFA_Net7_LH_DorsAttn_Post_5,73,0.015198,1e-6,0.079742,0.19058965162649547,1.2540442928444232e-5,RSFA
RSFA_Net7_LH_DorsAttn_Post_6,74,0.010533,0.003354,0.224737,0.04686811695448458,0.014924111294535391,RSFA
RSFA_Net7_LH_DorsAttn_Post_7,75,0.019105,0.013728,0.190412,0.10033506291620277,0.0720962964519043,RSFA
