# TOTAL_GENES = 18993
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE              TYPE  NGENES         BETA     BETA_STD           SE            P
sst_1_500              SET     500   -0.0014853  -0.00023781     0.047056      0.51259
pvalb_1_500            SET     500      0.09408     0.015063     0.046985     0.022632
sst_501_1000           SET     500     0.055803    0.0089343     0.045425      0.10964
pvalb_501_1000         SET     500     0.052859     0.008463     0.047639       0.1336
sst_1001_1500          SET     500    0.0028561   0.00045727     0.044608      0.47448
pvalb_1001_1500        SET     500     0.084793     0.013576     0.046204     0.033248
sst_1501_2000          SET     500    -0.013529    -0.002166      0.04659      0.61424
pvalb_1501_2000        SET     500     0.070589     0.011302     0.046131     0.062994
sst_2001_2500          SET     500    -0.083023    -0.013292     0.046282      0.96357
pvalb_2001_2500        SET     500     0.025652    0.0041071     0.044926      0.28401
sst_2501_3000          SET     500     0.054956    0.0087988     0.045805      0.11512
pvalb_2501_3000        SET     500     0.070465     0.011282     0.045759     0.061801
sst_3001_3500          SET     500   -0.0028427  -0.00045514     0.044803       0.5253
pvalb_3001_3500        SET     500    -0.026592   -0.0042576     0.045435      0.72082
sst_3501_4000          SET     500    0.0047576   0.00076172     0.046638      0.45937
pvalb_3501_4000        SET     500     0.034379    0.0055043     0.046519      0.22995
sst_4001_4500          SET     500     0.022734    0.0036399     0.044845       0.3061
pvalb_4001_4500        SET     500     0.040457    0.0064773     0.045628      0.18764
sst_4501_5000          SET     500     0.087445        0.014     0.047043     0.031534
pvalb_4501_5000        SET     500     0.053196     0.008517     0.045475      0.12105
sst_5001_5500          SET     500    -0.034849   -0.0055795     0.045532      0.77797
pvalb_5001_5500        SET     500     0.068605     0.010984     0.046233     0.068927
sst_5501_6000          SET     500  -0.00093589  -0.00014984     0.046081       0.5081
pvalb_5501_6000        SET     500      0.12512     0.020032     0.046545    0.0035962
sst_6001_6500          SET     500     0.039747    0.0063637     0.045081      0.18898
pvalb_6001_6500        SET     500    -0.024793   -0.0039696     0.045414      0.70744
sst_6501_7000          SET     500     0.049245    0.0078845      0.04698      0.14727
pvalb_6501_7000        SET     500    -0.061413   -0.0098326     0.044846      0.91456
sst_7001_7500          SET     500   -0.0055739  -0.00089241      0.04616      0.54806
pvalb_7001_7500        SET     500     0.024231    0.0038795     0.045248      0.29615
sst_7501_8000          SET     500    0.0028607   0.00045802     0.045169      0.47475
pvalb_7501_8000        SET     500    0.0081971    0.0013124     0.046846      0.43055
sst_8001_8500          SET     500    -0.016483    -0.002639     0.045733      0.64073
pvalb_8001_8500        SET     500     0.013363    0.0021395     0.045232      0.38383
sst_8501_9000          SET     500    -0.059714   -0.0095605     0.047131      0.89741
pvalb_8501_9000        SET     500     0.069752     0.011168     0.045862     0.064148
sst_9001_9500          SET     500     0.069292     0.011094     0.046421     0.067769
pvalb_9001_9500        SET     500    0.0032059   0.00051328     0.044616      0.47136
sst_9501_10000         SET     500    0.0063233    0.0010124      0.04448      0.44348
pvalb_9501_10000       SET     500     0.033088    0.0052976     0.045202      0.23209
