AHBA_acro,ROI,Full_name,structureOrder, PV_M_mean , PV_M_SD , PV_F_mean , PV_F_SD , SST_M_mean , SST_M_SD , SST_F_mean , SST_F_SD , VIP_M_mean , VIP_M_SD , VIP_F_mean , VIP_F_SD , SSTCR_mean , SSTCR_SD , SSTnNOS_mean , SSTnNOS_SD , VIPCR_mean , VIPCR_SD , VIPCCK_mean , VIPCCK_SD 
,grey,Whole brain,100,6000.53,527.57,5831.17,539.09,4788.28,604.93,5345.33,449.5,951.98,82.7,1003.68,54.97,363.29,97.56,76.27,21.89,181.16,53.4,66.01,4.61
,CH,Cerebrum,200,2449.23,198.83,2415.33,227.7,5083.94,268.94,5422.81,256.17,1578.81,122.79,1643.73,86.76,410.55,67.95,121.65,32.56,320.86,98.34,113.71,2.74
,CTX,Cerebral cortex,300,2902.89,224.45,2851.04,249.74,4876.7,248.18,5182.83,238.22,1935.39,145.91,2013.82,107.35,445.14,73.52,79.21,17.54,396.62,122.79,139.04,1.23
,CTXpl,Cortical plate,400,2994.67,230.05,2938.46,257.27,4759.98,241.93,5058.02,232.69,1970.86,147.97,2050.33,109.66,437.66,72.4,75.45,16.38,404.69,124.22,142.89,1.1
,Isocortex,Isocortex,500,4309.15,327.51,4188.59,341.46,4737.75,237.94,4948.9,251.06,2243.47,174.42,2253.05,135.27,452.07,23.97,84.02,18.36,538.84,157.84,198.87,3.5
,FRP,"Frontal pole, cerebral cortex",600,863.39,89.9,928.28,174.21,1749.31,255.19,2177.59,388.6,2597.82,512.38,2875.89,348.95,293.18,238.29,156.62,202.22,402.24,125.03,451.26,148.92
,FRP1,"Frontal pole, layer 1",700,512.6,112.15,602.25,162.32,1505.22,237.49,1971.13,417.23,2319.65,651.09,2738.77,446.53,210.37,211.08,176.57,245.43,307.79,179.2,441.62,188.49
,FRP2/3,"Frontal pole, layer 2/3",800,2618.54,130.78,2551.88,287.94,2943.38,379.63,3196.79,317.67,3960.41,349.29,3543.74,437.42,702.03,435.83,59.01,26.19,876.55,213.69,499.16,51.2
,MO,Somatomotor areas,900,3931.75,361.64,3758.9,267.72,4094.42,253.96,4369.7,234.71,2141.99,162.5,2141.98,133.12,495.65,51.1,77.99,14.91,525.19,103.42,240.83,8.15
,MOp,Primary motor area,1500,4059.55,378.99,3880.26,285.5,4240.79,262.38,4514.37,249.72,2087.85,150.73,2091.67,121.69,442.72,43.61,84.76,15.99,511.32,85.09,231.91,9.69
,MOp1,"Primary motor area, Layer 1",1600,136.73,57.6,111.06,30.13,684.57,154.62,748.84,288.55,1292.29,179.18,1518.91,128.48,172.07,116.61,34.85,16.11,209.84,184.39,365.79,66.18
,MOp2/3,"Primary motor area, Layer 2/3",1700,4054.97,394.29,3929.16,306.86,3422.95,155.43,3708.62,227.96,4114.97,235.34,4027.77,257.93,862.85,58.75,57.45,17.84,872.3,128.57,452.05,46.97
,MOp5,"Primary motor area, Layer 5",1800,6422.6,575.16,6117.74,400.85,6072.36,331.02,6416.77,337.94,1265.11,110.03,1218.72,58.01,315.01,63.18,76.61,7.12,421.86,134.91,79.05,1.71
