structure_id,slab_num,well_id,slab_type,structure_acronym,structure_name,polygon_id,mri_voxel_x,mri_voxel_y,mri_voxel_z,mni_x,mni_y,mni_z,brain,reg_num,top_level,region_clean,R,A,S,vertex,mm_to_surf
4077,22,594,CX,PCLa-i,"paracentral lobule, anterior part, right, inferior bank of gyrus",37470,87,52,116,5.9,-27.7,49.7,9861,4071.0,CTX,"paracentral lobule, anterior part",5.5,-26.0,44.0,4410,-1.341842
4323,11,2985,CX,Cl,"claustrum, right",40517,66,92,63,29.2,17.0,-2.9,9861,,,,26.5,27.0,4.0,0,
4323,18,2801,CX,Cl,"claustrum, right",41516,66,81,104,28.2,-22.8,16.8,9861,,,,26.5,-14.0,15.0,0,
4440,18,2273,CX,LGd,"dorsal lateral geniculate nucleus, left",41473,116,94,101,-24.6,-24.6,1.3,9861,12922.0,THAL,dorsal lateral geneiculate nucleus,-23.5,-11.0,2.0,0,
4266,17,2785,CX,CA4,"CA4 field, right",41142,63,104,106,31.1,-31.3,-7.3,9861,12895.0,HIPP,CA4 field,29.5,-16.0,-8.0,0,
4267,17,2793,CX,DG,"dentate gyrus, right",41141,63,104,107,31.1,-32.3,-7.1,9861,,,,29.5,-17.0,-8.0,0,
4782,72,2795,CB,Dt,"dentate nucleus, left",73345,101,130,123,-9.7,-57.4,-32.6,9861,,,,-8.5,-33.0,-34.0,0,
4784,69,2787,CB,Fas,"fastigial nucleus, left",75936,90,127,125,1.9,-58.4,-28.7,9861,,,,2.5,-35.0,-31.0,0,
4788,67,2874,CB,Emb,"emboliform nucleus, right",56000,84,125,118,8.5,-50.3,-27.8,9861,,,,8.5,-28.0,-29.0,0,
4251,17,2858,CX,S,"subiculum, left",41212,114,108,100,-22.6,-27.4,-13.8,9861,12896.0,HIPP,subiculum,-21.5,-10.0,-12.0,0,
4254,17,2850,CX,CA1,"CA1 field, left",41211,124,107,100,-33.2,-27.4,-12.9,9861,12892.0,HIPP,CA1 field,-31.5,-10.0,-11.0,0,
4281,17,2866,CX,TCd,"tail of caudate nucleus, left",41213,124,102,98,-33.1,-23.9,-8.0,9861,12901.0,STR,tail of the caudate nucleus,-31.5,-8.0,-6.0,0,
4450,19,2809,CX,DTA,"anterior group of nuclei, right",67019,84,85,109,9.0,-29.6,13.2,9861,12920.0,THAL,anterior group of nuclei,8.5,-19.0,11.0,0,
4472,19,2817,CX,DTLv,"lateral group of nuclei, right, ventral division",67020,75,86,108,18.5,-28.6,12.1,9861,12925.0,THAL,"lateral group of nuclei, ventral division",17.5,-18.0,10.0,0,
4487,19,2825,CX,ILr,"rostral group of intralaminar nuclei, right",73214,84,88,109,9.0,-30.5,10.0,9861,12929.0,THAL,rostral group of intralaminar nuclei,8.5,-19.0,8.0,0,
4395,19,2929,CX,DTA,"anterior group of nuclei, left",66981,102,80,102,-9.8,-21.3,16.8,9861,12920.0,THAL,anterior group of nuclei,-9.5,-12.0,16.0,0,
4400,19,2857,CX,DTM,"medial group of nuclei, left",80127,100,92,105,-7.8,-27.8,4.6,9861,12927.0,THAL,medial group of nuclei,-7.5,-15.0,4.0,0,
4417,19,2849,CX,DTLv,"lateral group of nuclei, left, ventral division",66985,112,87,105,-20.5,-26.7,9.7,9861,12925.0,THAL,"lateral group of nuclei, ventral division",-19.5,-15.0,9.0,0,
4432,19,2865,CX,ILr,"rostral group of intralaminar nuclei, left",80126,104,87,104,-12.0,-25.4,9.6,9861,12929.0,THAL,rostral group of intralaminar nuclei,-11.5,-14.0,9.0,0,
4437,19,2841,CX,ILc,"caudal group of intralaminar nuclei, left",66984,106,94,105,-14.2,-28.5,2.3,9861,12921.0,THAL,caudal group of intralaminar nuclei,-13.5,-15.0,2.0,0,
4322,12,2977,CX,Cl,"claustrum, left",36307,121,90,67,-29.0,12.0,-1.1,9861,,,,-28.5,23.0,6.0,0,
