top_level,id,acronym,name,parent_structure_id,hemisphere,graph_order,structure_id_path,color_hex_triplet
CTX,4053,AOrG,anterior orbital gyrus,4009,,5,/4005/4006/4007/4008/4009/4053/,E8BF59
CTX,4078,fro,frontal operculum,4009,,8,/4005/4006/4007/4008/4009/4078/,E8C159
CTX,4888,FP,frontal pole,4009,,11,/4005/4006/4007/4008/4009/4888/,E8C359
CTX,4047,GRe,gyrus rectus,4009,,20,/4005/4006/4007/4008/4009/4047/,E8C459
CTX,4035,IFG,inferior frontal gyrus,4009,,23,/4005/4006/4007/4008/4009/4035/,E8C659
CTX,4900,IRoG,inferior rostral gyrus,4009,,35,/4005/4006/4007/4008/4009/4900/,E8C859
CTX,4059,LOrG,lateral orbital gyrus,4009,,38,/4005/4006/4007/4008/4009/4059/,E8CA59
CTX,4050,MOrG,medial orbital gyrus,4009,,41,/4005/4006/4007/4008/4009/4050/,E8CB59
CTX,4028,MFG,middle frontal gyrus,4009,,44,/4005/4006/4007/4008/4009/4028/,E8CD59
CTX,265504406,OlfA,olfactory area,4009,,51,/4005/4006/4007/4008/4009/265504406/,E8CE59
CTX,4071,PCLa,"paracentral lobule, anterior part",4009,,54,/4005/4006/4007/4008/4009/4071/,E8CF59
CTX,4065,PTG,paraterminal gyrus,4009,,61,/4005/4006/4007/4008/4009/4065/,E8D059
CTX,4068,PaOG,parolfactory gyri,4009,,64,/4005/4006/4007/4008/4009/4068/,E8D259
CTX,4056,POrG,posterior orbital gyrus,4009,,67,/4005/4006/4007/4008/4009/4056/,E8D459
CTX,4010,PrG,precentral gyrus,4009,,70,/4005/4006/4007/4008/4009/4010/,E8D659
CTX,4021,SFG,superior frontal gyrus,4009,,81,/4005/4006/4007/4008/4009/4021/,E8D959
CTX,4897,SRoG,superior rostral gyrus,4009,,88,/4005/4006/4007/4008/4009/4897/,E8DB59
CTX,4269,LIG,long insular gyri,4268,,92,/4005/4006/4007/4008/4268/4269/,FFF161
CTX,4272,SIG,short insular gyri,4268,,95,/4005/4006/4007/4008/4268/4272/,EFFF61
CTX,4221,CgGf,"cingulate gyrus, frontal part",4220,,100,/4005/4006/4007/4008/4219/4220/4221/,7F5B33
CTX,4228,CgGp,"cingulate gyrus, parietal part",4220,,107,/4005/4006/4007/4008/4219/4220/4228/,7F6233
CTX,4235,CgGr,"cingulate gyrus, retrosplenial part",4220,,114,/4005/4006/4007/4008/4219/4220/4235/,7F6933
CTX,4062,SCG,subcallosal cingulate gyrus,4220,,121,/4005/4006/4007/4008/4219/4220/4062/,7F5F33
CTX,4184,Cun,cuneus,4180,,165,/4005/4006/4007/4008/4180/4184/,E87751
CTX,4205,IOG,inferior occipital gyrus,4180,,172,/4005/4006/4007/4008/4180/4205/,E87B51
CTX,4191,LiG,lingual gyrus,4180,,179,/4005/4006/4007/4008/4180/4191/,E88051
CTX,4181,OP,occipital pole,4180,,186,/4005/4006/4007/4008/4180/4181/,E88551
CTX,4198,OTG,occipito-temporal gyrus,4180,,195,/4005/4006/4007/4008/4180/4198/,E88A51
CTX,4212,SOG,superior occipital gyrus,4180,,202,/4005/4006/4007/4008/4180/4212/,E88F51
CTX,4111,AnG,angular gyrus,4103,,211,/4005/4006/4007/4008/4084/4103/4111/,FF5D62
CTX,4104,SMG,supramarginal gyrus,4103,,218,/4005/4006/4007/4008/4084/4103/4104/,FF5D62
CTX,4125,PCLp,"paracentral lobule, posterior part",4084,,225,/4005/4006/4007/4008/4084/4125/,FF6462
CTX,4085,PoG,postcentral gyrus,4084,,232,/4005/4006/4007/4008/4084/4085/,FF6C62
CTX,4118,PCu,precuneus,4084,,243,/4005/4006/4007/4008/4084/4118/,FF7462
CTX,4096,SPL,superior parietal lobule,4084,,250,/4005/4006/4007/4008/4084/4096/,FF7B62
CTX,4156,FuG,fusiform gyrus,4132,,258,/4005/4006/4007/4008/4132/4156/,FF877F
CTX,4165,HG,Heschl's gyrus,4132,,267,/4005/4006/4007/4008/4132/4165/,FF8A7F
CTX,4147,ITG,inferior temporal gyrus,4132,,270,/4005/4006/4007/4008/4132/4147/,FF8D7F
CTX,4140,MTG,middle temporal gyrus,4132,,279,/4005/4006/4007/4008/4132/4140/,FF907F
CTX,4177,PLP,planum polare,4132,,286,/4005/4006/4007/4008/4132/4177/,FF937F
CTX,4171,PLT,planum temporale,4132,,289,/4005/4006/4007/4008/4132/4171/,FF967F
CTX,4133,STG,superior temporal gyrus,4132,,292,/4005/4006/4007/4008/4132/4133/,FF997F
CTX,4174,TP,temporal pole,4132,,299,/4005/4006/4007/4008/4132/4174/,FF9C7F
CTX,4168,TG,transverse gyri,4132,,308,/4005/4006/4007/4008/4132/4168/,FF9F7F
HIPP,12892,CA1,CA1 field,4249,,128,/4005/4006/4007/4008/4219/4249/12892/,FFBA66
