GENE       CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
148398       1     854993     884961     30       6  150064       1.1473      0.12563
26155        1     874583     899679     40       3  150064       1.5546     0.060021
339451       1     890967     906099     26       3  150064       1.3384     0.090389
84069        1     896872     915488     29       7  150064      0.43019      0.33353
84808        1     905579     922473     40       7  150064     -0.45048      0.67382
57801        1     929342     941608     41       6  150064      -1.1888      0.88274
9636         1     943847     954920     27       4  150064      0.26116      0.39698
375790       1     950503     996499     98       9  150064      0.58803      0.27826
401934       1    1002126    1014687     24       5  150064       1.2327      0.10885
54991        1    1012198    1056736    134      11  150064      0.41398      0.33944
254173       1    1104286    1138315    164      19  150064      -2.0711      0.98083
8784         1    1133888    1147163     41       6  150064    -0.013073      0.50522
7293         1    1141706    1154703     46       7  150064      0.76584      0.22188
51150        1    1147288    1172447    128       8  150064       0.9229      0.17803
126792       1    1162629    1175421     52       6  150064       1.2515      0.10538
388581       1    1172826    1187102     42       5  150064       1.8555     0.031763
118424       1    1184292    1214234     78      11  150064     -0.50687      0.69388
6339         1    1210816    1232409     70      13  150064      -1.5972      0.94489
116983       1    1222764    1248304     64      11  150064     -0.76652      0.77832
126789       1    1238962    1252057     29       7  150064    -0.078271      0.53119
54973        1    1241965    1265067     43       7  150064        0.256      0.39897
80772        1    1255136    1269276     30       5  150064      0.13619      0.44584
83756        1    1261726    1274844     35       5  150064      0.24009      0.40513
1855         1    1265658    1289509     58       6  150064      0.39018       0.3482
54587        1    1283071    1302183     70       9  150064    -0.037727      0.51505
54998        1    1304110    1315818     60       8  150064     0.020525      0.49181
81669        1    1316091    1339718     47       7  150064     -0.10662      0.54245
55052        1    1332276    1347693     43       6  150064      0.13624      0.44581
441869       1    1348800    1361824     53       6  150064      0.11496      0.45424
643965       1    1356508    1368167     48       7  150064     0.019883      0.49207
64856        1    1365903    1383262     39       7  150064      0.34679      0.36438
219293       1    1373152    1410538     98      13  150064     -0.10536      0.54195
83858        1    1402139    1449852    149      14  150064      0.16296      0.43527
55210        1    1442523    1475067     98      12  150064      0.14344      0.44297
339453       1    1465158    1480740     46      10  150064      0.29109      0.38549
29101        1    1472053    1515262    133      12  150064       1.1526      0.12454
142678       1    1545795    1570990      3       1  150064      0.31533      0.37626
8510         1    1562060    1575030      2       1  150064     -0.12533      0.54987
984          1    1566100    1595473      1       1  150064      -1.0455       0.8521
728661       1    1586486    1629243      1       1  150064      -1.4057       0.9201
728642       1    1628822    1660999     43       2  150064      0.46455      0.32113
9906         1    1651277    1682438     70       8  150064    -0.018614      0.50743
65220        1    1677671    1716508     72       8  150064     0.043331      0.48272
2782         1    1711725    1827552    129      12  150064      0.23519      0.40703
163688       1    1841266    1853733     42       7  150064      0.68102      0.24793
339456       1    1844029    1855740     46       6  150064      0.55591      0.28914
85452        1    1848390    1940276    294      19  150064        1.344     0.089469
2563         1    1945768    1967192     28       3  150064      0.32717      0.37177
5590         1    1976909    2121834    408      28  150064       2.6452    0.0040824
100506504    1    2108250    2120812     30       9  150064       3.8411   6.1234e-05
199990       1    2110899    2149159     84      18  150064       3.5012   0.00023157
6497         1    2155134    2246652    260      42  150064       1.6377     0.050737
79906        1    2246719    2328190    353      45  150064      0.26877      0.39405
11079        1    2318214    2341883     67      17  150064        1.278      0.10063
5192         1    2331241    2349010     52      16  150064      0.74757      0.22736
9651         1    2402754    2441964    106      19  150064      0.59617      0.27553
55229        1    2434975    2463061     71      10  150064       1.0268      0.15226
388585       1    2455184    2466684     31       8  150064    -0.043579      0.51738
8764         1    2482291    2500268     45       5  150064      0.85908      0.19515
127281       1    2512899    2527908     48       5  150064        2.966    0.0015083
79258        1    2517078    2569499    174       9  150064       3.2504   0.00057629
100287898    1    2567807    2711230     87       9  150064       1.7712     0.038267
140625       1    2933046    2944467     37       7  150064     -0.11793      0.54694
63976        1    2980565    3360185   1450     164  150064       2.2898     0.011016
27237        1    3366147    3402677    105      10  150064      0.36984      0.35575
1953         1    3399506    3533059    476      71  150064      -1.6273      0.94817
127262       1    3536556    3551695     39       8  150064      0.75624      0.22475
49856        1    3542331    3571671     56      10  150064   -0.0086642      0.50346
7161         1    3564129    3657765    292      46  150064      0.48264      0.31468
148870       1    3663965    3693209     97      20  150064      -1.8342      0.96669
388588       1    3684352    3697546     72      11  150064      -1.4763      0.93007
57470        1    3691784    3718068    133      16  150064      -1.0781      0.85951
9731         1    3723645    3778797    345      18  150064      -1.3635      0.91363
1677         1    3768845    3806993    234      30  150064      -2.2296      0.98711
339448       1    3800697    3821857     75       9  150064     -0.57908      0.71873
55966        1    4710105    4848851    700      88  150064    -0.039348      0.51569
261734       1    5917870    6057618    436      24  150064       -0.457      0.67617
8514         1    6047358    6166253    332      46  150064    -0.047172      0.51881
26038        1    6156847    6245194    298      29  150064      -0.6629       0.7463
6146         1    6240080    6264679     49       7  150064      0.41149      0.34036
388591       1    6261189    6286359     57       8  150064      0.38855       0.3488
23463        1    6276253    6301044     47       7  150064     -0.49796      0.69074
390992       1    6299252    6310638     22       5  150064     -0.79357      0.78628
387509       1    6302406    6326035     62       6  150064     0.040818      0.48372
11332        1    6319332    6458826    448      24  150064      0.37886      0.35239
54626        1    6470292    6489724     69       9  150064      0.65146      0.25737
83715        1    6479836    6526004    125      12  150064       1.3587     0.087113
8718         1    6515787    6532432     42       7  150064       3.4855    0.0002456
57449        1    6521152    6585121    169      25  150064       2.6707    0.0037848
79707        1    6576407    6619658    155       5  150064     -0.69339      0.75597
80835        1    6609987    6644817     93      10  150064     -0.14193      0.55643
3104         1    6635051    6654340     30      12  150064       2.5306    0.0056935
9903         1    6645784    6667958     48      15  150064       3.8983   4.8442e-05
148479       1    6668756    6689093     40       8  150064       3.3171   0.00045478
90326        1    6679925    6700646     45       9  150064        3.802   7.1771e-05
55735        1    6689228    6766966    174      19  150064       4.7789    8.812e-07
23261        1    6840384    7834766   2819     210  150064      -0.2915      0.61466
9341         1    7826329    7846492     60      15  150064       1.6822      0.04626
8863         1    7839413    7910241    275      25  150064      0.81267       0.2082
10911        1    7902672    7918551     70      19  150064     0.019149      0.49236
3604         1    7970931    8008225     78      10  150064      0.21632      0.41437
11315        1    8016714    8050342     63       9  150064      0.51661      0.30271
54206        1    8066779    8091393     31       5  150064     0.056042      0.47765
50651        1    8373171    8409227    110      18  150064       5.1547   1.2701e-07
473          1    8407464    8882699    729      29  150064       4.8612   5.8335e-07
2023         1    8916059    8944151     50       8  150064       1.7542     0.039701
765          1    9000893    9040151    158      37  150064     -0.03559       0.5142
155184       1    9058359    9091404    113      29  150064     -0.40922      0.65881
6518         1    9092005    9136763    177      22  150064     -0.76687      0.77842
80045        1    9158472    9194229     96      14  150064     -0.21406      0.58475
9563         1    9289822    9336396    162      25  150064       1.7378     0.041124
80176        1    9330202    9434591    501      75  150064       1.2875     0.098956
84275        1    9594528    9647831     75       9  150064     -0.74183      0.77091
199953       1    9643932    9679935     44       6  150064     -0.08843      0.53523
5293         1    9706789    9794172    164      30  150064      0.15179      0.43968
22883        1    9784079    9889550    133      13  150064      0.20248      0.41977
56998        1    9903334    9975316    102      13  150064       1.7519     0.039893
84328        1    9977168   10008460     61       8  150064     -0.77245      0.78007
64802        1    9998486   10050556     99      13  150064     -0.33055      0.62951
116362       1   10052255   10081078     55       7  150064       0.3354      0.36866
10277        1   10088041   10246297    335      19  150064      0.34831       0.3638
23095        1   10265606   10446664    583      17  150064       1.3056     0.095849
5226         1   10453884   10485565     84      11  150064      0.65199       0.2572
378708       1   10484944   10515239     89       9  150064    -0.068234       0.5272
100526739    1   10485159   10517060     92      10  150064     -0.10493      0.54178
1325         1   10504776   10517060     28       6  150064     -0.57027      0.71575
1676         1   10515588   10537613     32       7  150064      0.19179      0.42395
5195         1   10530003   10695815    410      31  150064     -0.40502      0.65727
54897        1   10691661   10861733    416      75  150064      -1.4278      0.92332
148345       1   11001530   11047094    173      20  150064      0.11669      0.45355
