gene_symbol,probe_id,probe_name,gene_id,gene_name,entrez_id,chromosome,pvalb_cor
61E3.4,1011169,A_24_P167877,133523,nuclear pore complex interacting protein-like,440345,16,0.021240852502491327
A_24_P614148,1020364,A_24_P614148,1003731,AGILENT probe A_24_P614148 (non-RefSeq),100288064,NA,0.27731712821952437
A1BG,1059509,A_23_P38816,2,alpha-1-B glycoprotein,1,19,-0.4329782903719993
A26C1B,1021192,A_23_P339053,172078,"POTE ankyrin domain family, member F",728378,2,0.6949846407002515
A2BP1,1020220,A_23_P140858,34004,"RNA binding protein, fox-1 homolog (C. elegans) 1",54715,16,0.5640883342349753
A2LD1,1016003,A_32_P110872,59673,AIG2-like domain 1,87769,13,-0.11468035354308566
A2M,1029410,A_23_P116898,3,alpha-2-macroglobulin,2,12,0.012759412214674004
A2ML1,1034763,A_23_P372962,80379,alpha-2-macroglobulin-like 1,144568,12,-0.12629445205305623
A3GALT2P,1035499,A_24_P212297,79226,"alpha 1,3-galactosyltransferase 2, pseudogene",127550,1,-0.05450928742585192
A4GALT,1043017,A_23_P57570,33241,"alpha 1,4-galactosyltransferase",53947,22,0.0814843073661997
AAAS,1049979,A_23_P64799,8035,"achalasia, adrenocortical insufficiency, alacrimia",8086,12,0.32426193965339817
AACS,1039513,A_23_P204395,41828,acetoacetyl-CoA synthetase,65985,12,0.02740137068352705
AADACL1,1016302,A_23_P132644,36825,neutral cholesterol ester hydrolase 1,57552,3,0.5398435979446743
AADACL3,1012096,CUST_708_PI416379584,79169,arylacetamide deacetylase-like 3,126767,1,-0.07085516337188104
AADAT,1043692,CUST_14815_PI416261804,30648,aminoadipate aminotransferase,51166,4,-0.04603428583224734
AAED1,1026044,A_24_P169343,83386,AhpC/TSA antioxidant enzyme domain containing 1,195827,9,-0.2835687357479942
AAGAB,1039036,A_23_P37545,55522,alpha- and gamma-adaptin binding protein,79719,15,0.07690890432037843
AAK1,1046259,A_23_P209826,22604,AP2 associated kinase 1,22848,2,0.3085444971191914
AAMP,1059499,A_23_P56529,11,"angio-associated, migratory cell protein",14,2,-0.002089643640304094
AANAT,1059497,A_23_P152527,12,aralkylamine N-acetyltransferase,15,17,-0.11896245464411175
AARD,1023981,CUST_10078_PI416261804,134476,alanine and arginine rich domain containing protein,441376,8,0.17797842727725455
AARS,1059495,A_24_P172990,13,alanyl-tRNA synthetase,16,16,0.2936436202775636
AARS2,1040628,A_23_P383688,36778,"alanyl-tRNA synthetase 2, mitochondrial (putative)",57505,6,-0.016457440822556898
AARSD1,1038460,A_23_P118607,56529,alanyl-tRNA synthetase domain containing 1,80755,17,0.12096277342873138
AASDH,1035236,A_24_P307195,79540,aminoadipate-semialdehyde dehydrogenase,132949,4,0.07225711872482679
