gene_symbol,probe_id,probe_name,gene_id,gene_name,entrez_id,chromosome,sst_cor
61E3.4,1011169,A_24_P167877,133523,nuclear pore complex interacting protein-like,440345,16,-0.07100613273880943
A_24_P614148,1020364,A_24_P614148,1003731,AGILENT probe A_24_P614148 (non-RefSeq),100288064,NA,-0.07776688932341999
A1BG,1059509,A_23_P38816,2,alpha-1-B glycoprotein,1,19,0.5104253583012456
A26C1B,1021192,A_23_P339053,172078,"POTE ankyrin domain family, member F",728378,2,-0.40117662603649057
A2BP1,1020220,A_23_P140858,34004,"RNA binding protein, fox-1 homolog (C. elegans) 1",54715,16,-0.31818901383113807
A2LD1,1016003,A_32_P110872,59673,AIG2-like domain 1,87769,13,0.061369379877174675
A2M,1029410,A_23_P116898,3,alpha-2-macroglobulin,2,12,0.08204760628037275
A2ML1,1034763,A_23_P372962,80379,alpha-2-macroglobulin-like 1,144568,12,-0.12004555184836031
A3GALT2P,1035499,A_24_P212297,79226,"alpha 1,3-galactosyltransferase 2, pseudogene",127550,1,0.007036163266082267
A4GALT,1043017,A_23_P57570,33241,"alpha 1,4-galactosyltransferase",53947,22,0.1478456254986586
AAAS,1049979,A_23_P64799,8035,"achalasia, adrenocortical insufficiency, alacrimia",8086,12,-0.12474174928537639
AACS,1039513,A_23_P204395,41828,acetoacetyl-CoA synthetase,65985,12,0.20645374686145243
AADACL1,1016302,A_23_P132644,36825,neutral cholesterol ester hydrolase 1,57552,3,-0.31742958931583737
AADACL3,1012096,CUST_708_PI416379584,79169,arylacetamide deacetylase-like 3,126767,1,-0.08509955024968809
AADAT,1043692,CUST_14815_PI416261804,30648,aminoadipate aminotransferase,51166,4,0.01014757683096264
AAED1,1026044,A_24_P169343,83386,AhpC/TSA antioxidant enzyme domain containing 1,195827,9,0.3498646014597961
AAGAB,1039036,A_23_P37545,55522,alpha- and gamma-adaptin binding protein,79719,15,0.23172255979241663
AAK1,1046259,A_23_P209826,22604,AP2 associated kinase 1,22848,2,-0.3067540237681274
AAMP,1059499,A_23_P56529,11,"angio-associated, migratory cell protein",14,2,0.2425159507630104
AANAT,1059497,A_23_P152527,12,aralkylamine N-acetyltransferase,15,17,-0.06771965856768221
AARD,1023981,CUST_10078_PI416261804,134476,alanine and arginine rich domain containing protein,441376,8,-0.35639791896988277
AARS,1059495,A_24_P172990,13,alanyl-tRNA synthetase,16,16,-0.06317317130159386
AARS2,1040628,A_23_P383688,36778,"alanyl-tRNA synthetase 2, mitochondrial (putative)",57505,6,0.020765900575660235
AARSD1,1038460,A_23_P118607,56529,alanyl-tRNA synthetase domain containing 1,80755,17,0.26160574115373125
AASDH,1035236,A_24_P307195,79540,aminoadipate-semialdehyde dehydrogenase,132949,4,-0.2074131677881619
AASDHPPT,1040192,A_24_P295620,37956,aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase,60496,11,0.05233171960870836
AASS,1047763,CUST_8049_PI416261804,10012,aminoadipate-semialdehyde synthase,10157,7,0.02486236025020941
AATF,1022506,CUST_51_PI416408490,26321,apoptosis antagonizing transcription factor,26574,17,-0.008614661051037305
AATK,1016164,A_23_P10559,9481,apoptosis-associated tyrosine kinase,9625,17,-0.179594513518107
ABAT,1010530,A_23_P152505,15,4-aminobutyrate aminotransferase,18,16,-0.006265437387530865
ABCA1,1059493,A_24_P235429,16,"ATP-binding cassette, sub-family A (ABC1), member 1",19,9,0.13835783571199678
ABCA10,1047517,A_23_P89422,10202,"ATP-binding cassette, sub-family A (ABC1), member 10",10349,17,-0.07935217000441272
ABCA11P,1028875,CUST_1868_PI416261804,55765,"ATP-binding cassette, sub-family A (ABC1), member 11, pseudogene",79963,4,-0.17564168013057113
ABCA17P,1065812,A_32_P29703,181276,"ATP-binding cassette, sub-family A (ABC1), member 17, pseudogene",650655,16,0.44219622891482907
ABCA2,1059490,A_23_P43504,17,"ATP-binding cassette, sub-family A (ABC1), member 2",20,9,0.05768683989992524
ABCA3,1059488,A_23_P140876,18,"ATP-binding cassette, sub-family A (ABC1), member 3",21,16,0.17090696844678357
ABCA5,1045679,A_24_P67096,23216,"ATP-binding cassette, sub-family A (ABC1), member 5",23461,17,-0.22784400052102563
ABCA6,1065173,A_24_P378581,23215,"ATP-binding cassette, sub-family A (ABC1), member 6",23460,17,-0.35303745617668686
ABCA7,1047519,A_23_P39481,10200,"ATP-binding cassette, sub-family A (ABC1), member 7",10347,19,-0.21934207772117015
ABCA8,1047514,CUST_16471_PI416261804,10204,"ATP-binding cassette, sub-family A (ABC1), member 8",10351,17,-0.1052379072569132
ABCA9,1047516,CUST_9401_PI416261804,10203,"ATP-binding cassette, sub-family A (ABC1), member 9",10350,17,-0.33312858541812174
ABCB1,1053121,A_23_P82523,5211,"ATP-binding cassette, sub-family B (MDR/TAP), member 1",5243,7,-0.09641073132081371
ABCB10,1045687,A_24_P274073,23211,"ATP-binding cassette, sub-family B (MDR/TAP), member 10",23456,1,-0.2382764858709246
ABCB6,1047875,A_23_P5441,9913,"ATP-binding cassette, sub-family B (MDR/TAP), member 6",10058,2,0.27252853790280945
ABCB7,1059486,A_23_P171258,19,"ATP-binding cassette, sub-family B (MDR/TAP), member 7",22,X,-0.26015725149897717
ABCB8,1046488,A_23_P82249,11034,"ATP-binding cassette, sub-family B (MDR/TAP), member 8",11194,7,0.2178951197134279
ABCB9,1045682,A_23_P128094,23212,"ATP-binding cassette, sub-family B (MDR/TAP), member 9",23457,12,0.07329835643480712
